question,intent,clean_question
Analyze all sales for each category,sales_by_category,analyze all sales for each category
Analyze profit by region,region_profit,analyze profit by region
Reveal all annual earnings,yearly_profit,reveal all annual earnings
Can I see overall discount?,discount_analysis,can i see overall discount
Analyze all ship mode analysis,shipping_analysis,analyze all ship mode analysis
View least profitable product.,lowest_profit_product,view least profitable product
View total revenue.,total_sales,view total revenue
Kindly compare the sales by segment.,sales_by_segment,kindly compare the sales by segment
Kindly display the product quantities.,quantity_analysis,kindly display the product quantities
Please give lowest selling products.,bottom_products,please give lowest selling products
View best cities.,top_cities,view best cities
Can you reveal the total earnings?,total_profit,can you reveal the total earnings
Can you list bottom cities?,bottom_cities,can you list bottom cities
Tell me complete business profit,total_profit,tell me complete business profit
Compute complete average sales,average_sales,compute complete average sales
Display complete top profit product.,highest_profit_product,display complete top profit product
I'd like the most profitable product.,highest_profit_product,id like the most profitable product
Kindly generate the inventory report.,inventory_summary,kindly generate the inventory report
Analyze performance of overall earnings.,total_profit,analyze performance of overall earnings
Show overall category performance,sales_by_category,show overall category performance
